"","LIBELLE_ARRET"
"554","BOUFFEMONT-MOISSELLES"
"555","SAINT-OUEN-L'AUMONE-LIESSE"
"556","BREVAL"
"557","CHANTELOUP-LES-VIGNES"
"558","CHARS"
"559","ANDRESY"
"560","CHAVILLE RIVE DROITE"
"561","CLICHY-LEVALLOIS"
"562","COLOMBES"
"563","CONFLANS-SAINTE-HONORINE"
"564","CORMEILLES-EN-PARISIS"
"565","COURBEVOIE"
"566","ARGENTEUIL"
"567","EPONE-MEZIERES"
"568","ERAGNY-NEUVILLE"
"569","ASNIERES"
"570","GARCHES-MARNES-LA-COQUETTE"
"571","GARGENVILLE"
"572","AUBERGENVILLE-ELISABETHVILLE"
"573","HERBLAY"
"574","ISSOU-PORCHEVILLE"
"575","LA CELLE-SAINT-CLOUD"
"576","LA FRETTE-MONTIGNY"
"577","LA GARENNE-COLOMBES"
"578","LE STADE"
"579","LE VAL-D'OR"
"580","LES CLAIRIERES-DE-VERNEUIL"
"581","LES MUREAUX"
"582","LES VALLEES"
"583","L'ETANG-LA-VILLE"
"584","LIMAY"
"585","LOUVECIENNES"
"586","MANTES-LA-JOLIE"
"587","MANTES-STATION"
"588","MARLY-LE-ROI"
"589","MAURECOURT"
"590","MEULAN-HARDRICOURT"
"591","MONTREUIL"
"592","NANTERRE-UNIVERSITE"
"593","BECON-LES-BRUYERES"
"594","OSNY"
"595","PONT-CARDINET"
"596","PUTEAUX"
"597","ROSNY-SUR-SEINE"
"598","SANNOIS"
"599","SEVRES-VILLE-D'AVRAY"
"600","SAINT-CLOUD"
"601","BOIS-COLOMBES"
"602","SAINT-NOM-LA-BRETECHE-FORET-DE-MARLY"
"603","SAINT-OUEN-L'AUMONE-QUARTIER DE L'EGLISE"
"604","SURESNES-MONT VALERIEN"
"605","THUN-LE-PARADIS"
"606","TRIEL-SUR-SEINE"
"607","BOISSY-L'AILLERIE"
"608","VAL-D'ARGENTEUIL"
"609","VAUCRESSON"
"610","VAUX-SUR-SEINE"
"611","VERNOUILLET-VERNEUIL"
"612","VERSAILLES RIVE DROITE"
"613","VILLENNES-SUR-SEINE"
"614","VIROFLAY RIVE DROITE"
"615","BONNIERES"
"616","BOUGIVAL"
"617","BRY-SUR-MARNE"
"618","BUSSY-SAINT-GEORGES"
"619","CERGY LE HAUT"
"620","CERGY-PREFECTURE"
"621","CERGY-SAINT-CHRISTOPHE"
"622","CHAMPIGNY"
"623","CHATELET-LES HALLES"
"624","CHATOU-CROISSY"
"625","CHESSY - MARNE-LA-VALLEE"
"626","CONFLANS-FIN-D'OISE"
"627","FONTENAY-SOUS-BOIS"
"628","AUBER"
"629","HOUILLES-CARRIERES-SUR-SEINE"
"630","JOINVILLE-LE-PONT"
"631","ACHERES-GRAND-CORMIER"
"632","LA VARENNE-CHENNEVIERES"
"633","LE PARC-DE-SAINT-MAUR"
"634","LE VESINET-CENTRE"
"635","LE VESINET-LE PECQ"
"636","LOGNES"
"637","MAISONS-LAFFITTE"
"638","NANTERRE-PREFECTURE"
"639","NANTERRE-VILLE"
"640","NEUILLY-PLAISANCE"
"641","NEUVILLE UNIVERSITE"
"642","NOGENT-SUR-MARNE"
"643","NOISIEL"
"644","NOISY-CHAMPS"
"645","NOISY-LE-GRAND-MONT D'EST"
"646","ACHERES-VILLE"
"647","POISSY"
"648","VAL-D'EUROPE"
"649","RUEIL-MALMAISON"
"650","SARTROUVILLE"
"651","SAINT-GERMAIN-EN-LAYE"
"652","SAINT-MAUR-CRETEIL"
"653","SUCY-BONNEUIL"
"654","TORCY"
"655","VAL-DE-FONTENAY"
"656","BOISSY-SAINT-LEGER"
"657","VINCENNES"
"658","BOURG-LA-REINE"
"659","BURES-SUR-YVETTE"
"660","CITE UNIVERSITAIRE"
"661","ANTONY"
"662","COURCELLE-SUR-YVETTE"
"663","ARCUEIL-CACHAN"
"664","DRANCY"
"665","FONTAINE-MICHALON"
"666","FONTENAY-AUX-ROSES"
"667","GENTILLY"
"668","GIF-SUR-YVETTE"
"669","LA COURNEUVE-AUBERVILLIERS"
"670","AULNAY-SOUS-BOIS"
"671","LA CROIX-DE-BERNY-FRESNES"
"672","LA HACQUINIERE"
"673","LAPLACE"
"674","LA PLAINE-STADE DE FRANCE"
"675","LE BOURGET"
"676","LE GUICHET"
"677","LES BACONNETS"
"678","BAGNEUX"
"679","LOZERE"
"680","LUXEMBOURG"
"681","MITRY-CLAYE"
"682","ORSAY-VILLE"
"683","PALAISEAU"
"684","PALAISEAU-VILLEBON"
"685","PARC DES EXPOSITIONS"
"686","PARC-DE-SCEAUX"
"687","PORT ROYAL"
"688","ROBINSON"
"689","AEROPORT CHARLES DE GAULLE 1"
"690","AEROPORT CHARLES DE GAULLE 2-TGV"
"691","BLANC-MESNIL"
"692","SCEAUX"
"693","SEVRAN-BEAUDOTTES"
"694","SEVRAN-LIVRY"
"695","SAINT-REMY-LES-CHEVREUSE"
"696","VERT-GALANT"
"697","VILLEPARISIS-MITRY-LE-NEUF"
"698","VILLEPINTE"
"699","LE KREMLIN-BICETRE"
"700","LE PLESSIS-CHENET"
"701","VOSVES"
"702","MONTRY-CONDE"
"703","MORMANT"
"704","VULAINES-SUR-SEINE-SAMOREAU"
"705","GUILLERVAL"
"706","MONNERVILLE"
"707","EPLUCHES"
"708","AUVERS-SUR-OISE"
"709","PONT-PETIT"
"710","THIEUX-NANTOUILLET"
"711","VILLAINES"
"712","JUZIERS"
"713","MONTGEROULT-COURCELLES"
"714","SANTEUIL-LE-PERCHAY"
"715","US"
"716","SAINT-GERMAIN-BEL-AIR-FOURQUEUX"
"717","NOISY-LE-ROI"
"718","DOURDAN-LA-FORET"
"719","SAINT-GERMAIN-GRANDE-CEINTURE"
"720","MAREIL-MARLY"
"721","COUILLY-SAINT-GERMAIN-QUINCY"
"722","COMPANS"
"723","CHATEAU ROUGE"
